id,nama,shape_leng,geom
46,,0.0527319355427,"LINESTRING (107.26094990000006 -6.269846379999914, 107.26659235875158 -6.274902701570687)"
47,,0.0114584872059,"LINESTRING (106.73663090000007 -6.1600335099999315, 106.73101956200013 -6.161189818999948, 106.72540820000009 -6.16234606999996)"
48,,0.0892162529249,"LINESTRING (107.05583710000008 -6.258503290000009, 107.06475163400005 -6.258146972999926, 107.07366615600009 -6.257790505999919, 107.08258066700004 -6.257433888999989, 107.0914951650001 -6.257077120999957, 107.10040965100005 -6.256720202999913, 107.10932412500009 -6.256363134999946, 107.11823858700005 -6.256005916999966, 107.12715303700008 -6.255648547999973, 107.13606747400004 -6.255291028999968, 107.14498190000008 -6.254933359999951)"
49,,0.0379284462154,"LINESTRING (106.80066350000008 -6.53081583999994, 106.79946232900008 -6.523325853999987, 106.79826119400009 -6.515835862999944, 106.79706009400009 -6.50834586699999, 106.79585902900001 -6.500855865999947, 106.79465800000011 -6.493365859999903)"
50,,0.00692662337739,"LINESTRING (106.81743070000007 -6.136761990000008, 106.82290750000007 -6.1410025999999585)"
51,,0.0296850162283,"LINESTRING (106.66495430000006 -6.1722270599999485, 106.65762479800007 -6.173390270000003, 106.65029526400006 -6.174553380999961, 106.64296569800007 -6.17571638999991, 106.63563610000006 -6.17687929999994)"
52,,0.0145839763747,"LINESTRING (106.83270270000007 -6.186235679999954, 106.83685655300003 -6.192228876999963, 106.84101050000001 -6.19822203999997)"
53,,0.0054378200606,"LINESTRING (106.72004190000008 -6.16322510999995, 106.72540820000009 -6.16234606999996)"
54,,0.0143765020065,"LINESTRING (106.41201920000009 -6.33568677999993, 106.40494983200004 -6.334384812999941, 106.40458719270909 -6.334318020380328)"
55,,0.00903864570882,"LINESTRING (106.85154930000007 -6.263272809999934, 106.85522770000004 -6.255016509999992)"
56,,0.0122209093363,"LINESTRING (106.90007600000008 -6.109842999999917, 106.89396849800004 -6.10965303399992, 106.88786100000007 -6.109462999999917)"
57,,0.0258910224468,"LINESTRING (106.46054340000008 -6.326735849999979, 106.45193598700004 -6.327364381999937, 106.44332855400009 -6.327992771999972, 106.43472110000005 -6.328621019999995)"
58,,0.0160800683966,"LINESTRING (106.81471150000006 -6.137540589999948, 106.8223280860001 -6.134965703999975, 106.82257261320595 -6.134883034147589, 106.8287057139622 -6.132809553070975, 106.82994460000003 -6.132390709999904)"
